NAME,DESCRIPTION,TYPE,SUBTYPE,FIELD,ISEDITABLE,TRIGGERINSERT,TRIGGERDELETE,TRIGGERUPDATE,SCRIPTEXPRESSION,ERRORNUMBER,ERRORMESSAGE,EXCLUDECLIENTEVALUATION,ISENABLED,BATCH,SEVERITY,TAGS,CATEGORY,CHECKPARAMETERS
LV_Cutout_Cal_01,Update features position by Change position of the cut-out node,CALCULATION,Low voltage Cutout,,TRUE,TRUE,FALSE,TRUE,"var lvioPosition = $feature.cutoutpositionchange
if (DomainName($feature, ""nodeposition"", $feature.nodeposition) == ""OH"" && $originalfeature.cutoutpositionchange != lvioPosition && lvioPosition != null ) {
    var assoicatedAssembly = FeatureSetByAssociation($feature, ""Container"")
    if (count(assoicatedAssembly) == 1) {
        var mapAssembly = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.MapAssembly"", [""*""], true)
        var asspcoatedAssmeblyFeatureGlobalID = First(assoicatedAssembly).GLOBALID
        var containerAssembly = filter(mapAssembly, ""GLOBALID = @asspcoatedAssmeblyFeatureGlobalID"")
        if (count(containerAssembly) == 1) {
            var conatinerAssemblyFeature = First(containerAssembly)
            var conatinerAssemblyFeatureRotation = conatinerAssemblyFeature.symbolrotation
            var conatinerAssemblyFeatureX = Geometry(conatinerAssemblyFeature).x
            var conatinerAssemblyFeatureY = Geometry(conatinerAssemblyFeature).y
            var lvioPositionDomainName = DomainName($feature, ""cutoutpositionchange"", $feature.cutoutpositionchange)
            var newX = 0
            var newY = 0
            if (lvioPositionDomainName == ""Left"") {
                var newX = conatinerAssemblyFeatureX - 0.22 * cos(conatinerAssemblyFeatureRotation)
                var newY = conatinerAssemblyFeatureY - 0.22 * sin(conatinerAssemblyFeatureRotation)
            }
            else if (lvioPositionDomainName == ""Right"") {
                var newX = conatinerAssemblyFeatureX + 0.22 * cos(conatinerAssemblyFeatureRotation)
                var newY = conatinerAssemblyFeatureY + 0.22 * sin(conatinerAssemblyFeatureRotation)
            }
            return {
                ""result"": {
                    ""geometry"": Geometry({
                        ""x"": newX,
                        ""y"": newY,
                        ""z"": Geometry($feature).z,
                        'spatialReference': Geometry($feature).spatialReference
                    })
                }
            }
        }
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Cutout_Cal_02,Update LV Cutout's attributes by Stock No.,CALCULATION,Low voltage Cutout,,TRUE,TRUE,FALSE,TRUE,"var stockTable = FeatureSetByName($dataStore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_LV_TerminationStockNo"",['*'],false)
var stockNo = $feature.referenceobjectfidcatalogue
var lvCutoutNodePosition = $feature.nodeposition
var originalStockNo = $originalfeature.referenceobjectfidcatalogue
var validNodePosition = [400,500]
var validFields = [""nameproductmanufacturer""]
var sqlExpression = ""referenceobjectfidcatalogue = @stockNo""
var updateAttributes = {}
if(stockNo != originalStockNo && includes(validNodePosition,lvCutoutNodePosition) == true ){
    var targetStockRecords = Filter(stockTable, sqlExpression)
    if(Count(targetStockRecords) != 0 ){
        var targetStockRecord = first(targetStockRecords)
        for(var key in targetStockRecord){
            if(Includes(validFields, key) && targetStockRecord[key] != null && targetStockRecord[key] != 0){
                updateAttributes[key] = targetStockRecord[key]
            }
        }
    }
    return{
        ""result"":{
            ""attributes"":updateAttributes
        }
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Cutout_Cal_03,Update Sybol Rotation  of LV Cutout’s conatiner – Control assembly LV. ,CALCULATION,Low voltage Cutout,,TRUE,TRUE,FALSE,TRUE,"var containerFeatures = FeatureSetByAssociation($feature, ""container"")
if (count(containerFeatures) == 1) {
    var mapAssmebly = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.MapAssembly"",[""*""],false)
    var containerFeatureGlobalID = First(containerFeatures).globalID
    var containerAssembly = Filter(mapAssmebly,""GLOBALID = @containerFeatureGlobalID"")
    var contentFeatures = FeatureSetByAssociation(First(containerAssembly), ""content"")
    var contentGlobalIDArray = []
    var mapDevice = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.MapDevice"", [""*""], true)
    var mapJunction = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.MapJunction"", [""*""], true)
    var i = 0
    for (var contentFeature in contentFeatures) {
        contentGlobalIDArray[i++] = contentFeature.globalID
    }
    if (count(contentFeatures) > 0) {
        var contentGlobalIDTurpe = replace(replace(replace(Text(contentGlobalIDArray), ""["", ""(""), ""]"", "")""), '""', ""'"")
        var whereClause = ""GLOBALID in "" + contentGlobalIDTurpe
        var cutoutFeatures = Filter(mapDevice, whereClause)
        //var cutoutServicePoint = Filter(mapJunction, whereClause)
        if (count(cutoutFeatures) == 3) {
            var aNodeCutout = Filter(cutoutFeatures, ""nodeposition = '400'"")
            var bNodeCutout = Filter(cutoutFeatures, ""nodeposition = '500'"")
            var OHNodeCutout = Filter(cutoutFeatures, ""nodeposition = '600'"")
            if (count(aNodeCutout) == 1 && count(bNodeCutout) == 1 && count(OHNodeCutout) == 1) {
                var rotateAngle = Angle(Geometry(first(bNodeCutout)), Geometry(first(aNodeCutout))) - 180
                var featureRotation = $feature.symbolrotation
                if(rotateAngle!=featureRotation){
                return {
                    'edit': [{
                        'className': 'NGISDD_Desktop_0926.NGISSD_SQLSERVICE.MapAssembly',
                        'updates': [{
                            'globalID': containerFeatureGlobalID,
                            'attributes': {
                                'symbolrotation': rotateAngle
                            }
                        }]
                    }]
                }
            }
            }
        }
    }
}",,,TRUE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Disconnector_Cal_01,Updates the value of “Isolator Type” to “Receptacle Unit” and “Isolator No.” to 0 when “Isolator Capacity Abv.” = “RL”.,CALCULATION,Low voltage Disconnector,,TRUE,TRUE,FALSE,TRUE,"if($feature.nameproductvariant == null){
  return
}
var receptacleUnitCode = ""700""
var defaultnameAssetValue = ""0""
var nameProductVariant = DomainName($feature, ""nameproductvariant"")
if(nameProductVariant == ""RL""){
   var originalNameAsset = $originalFeature.nameasset
   var originalNameProduct = $originalFeature.nameproduct
   var dict = {}
   if(originalNameAsset == defaultnameAssetValue && originalNameProduct == receptacleUnitCode){
      return 
   } else if(originalNameAsset == defaultnameAssetValue){
      dict[""nameproduct""] = receptacleUnitCode
   } else if(originalNameProduct == receptacleUnitCode){
      dict[""nameasset""] = defaultnameAssetValue
   } else{
      dict[""nameproduct""] = receptacleUnitCode
      dict[""nameasset""] = defaultnameAssetValue
   }
  return {
    ""result"": {
        ""attributes"": dict
      }
  }
}
return",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Switchgear_Cal_01,The containment association between the Cabinet boundary and Electric switching location LV features are built automatically if the LV Switchgear is inside the Cabinet boundary.,CALCULATION,Low voltage Switchgear,,TRUE,TRUE,FALSE,TRUE,"var structureBoundaryFeatureClass = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.StructureBoundary"",[""*""],false)
var intersectedSTBoundaryFeatures = Intersects(structureBoundaryFeatureClass, Geometry($feature))
if(count(intersectedSTBoundaryFeatures) == 1){
    var intersectedSTBoundaryFeature = First(intersectedSTBoundaryFeatures)
    var contentFeatures = FeatureSetByAssociation(intersectedSTBoundaryFeature, ""content"")
    if(count(contentFeatures) == 1){
        var mapAssemblyFeatureClass = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.MapAssembly"",[""*""],false)
        var contentFeature = First(contentFeatures)
        var contentFeatureGlobalID = contentFeature.GLOBALID
        var contentMapAssemblyFeatures = Filter(mapAssemblyFeatureClass, ""GLOBALID = @contentFeatureGlobalID"")
        if(count(contentMapAssemblyFeatures) == 1){
            var contentMapAssemblyFeature = First(contentMapAssemblyFeatures)
            var contentMapAssemblyFeatureGlobalID = contentMapAssemblyFeature.GLOBALID
            return {
                'edit': [{
                    'className': 'NGISDD_Desktop_0926.NGISSD_SQLSERVICE.MapAssembly',
                    'updates': [{
                        ""globalID"": contentMapAssemblyFeatureGlobalID,
                        ""associationType"": 'container'
                    }]
                }]
            }
        }
    }
}",,,TRUE,FALSE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Transformer_end_Cal_01,"Update Forecasted Load HV (A) and “Forecasted Load LV (A)  by""Forecasted Load (kVA)"" and ""Operating Voltage (kV)"".",CALCULATION,Low voltage Transformer end,,TRUE,TRUE,FALSE,TRUE,"if($feature.ASSETGROUP != 808){
   return 
}
var powerFlowForCasted = $feature.powerflowforecasted
if(powerFlowForCasted == null || $feature.voltageprimary == null){
   return
}
var voltage = DomainName($feature, ""voltageprimary"")
var originalCurrentForecastedPrimary = $originalFeature.currentforecastedprimary
var originalCurrentForecastedSecondary = $originalFeature.currentforecastedsecondary
var ROOT3 = 1.732050807
var currentForecastedPrimary
var currentForecastedSecondary
if(voltage == ""22""){
  currentForecastedPrimary  = Round(powerFlowForCasted / (22 * ROOT3), 0)
} else{
    currentForecastedPrimary = Round(powerFlowForCasted / (11 * ROOT3), 0)
}
currentForecastedSecondary = Round((powerFlowForCasted * 1000) / (380 * ROOT3), 0)
var dict = {}
if(originalCurrentForecastedPrimary == currentForecastedPrimary && originalCurrentForecastedSecondary == currentForecastedSecondary ){
    return
} else if(originalCurrentForecastedPrimary == currentForecastedPrimary){
    dict[""currentforecastedsecondary""] = currentForecastedSecondary
} else if(originalCurrentForecastedSecondary == currentForecastedSecondary){
    dict[""currentforecastedprimary""] = currentForecastedPrimary 
} else{
    dict[""currentforecastedprimary""] = currentForecastedPrimary 
    dict[""currentforecastedsecondary""] = currentForecastedSecondary
}
return {
    ""result"": {
        ""attributes"": dict
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Transformer_end_Cal_02,Update Load Statistics Info.,CALCULATION,Low voltage Transformer end,referenceloadstat,TRUE,TRUE,FALSE,TRUE,"var referenceObjectParentID = $feature.referenceobjectparentid
if(referenceObjectParentID == ""0"" || $feature.lifecyclestatus != 6){
    if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var nameAsset = $feature.nameasset
if(IsEmpty(nameAsset) || IsEmpty(referenceObjectParentID)){
    if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var referenceLoadStat = First(Filter(FeatureSetByName($datastore, ""HKE_System_Config"", ['*'], true), ""configKey = 'TxReferenceLoadStatURL'"")).configValue + ""?SSCODE="" + referenceObjectParentID + ""&TXNO="" + nameAsset
if($originalFeature.referenceloadstat == referenceLoadStat){
    return 
}
return referenceLoadStat",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MapDevice_Cal_01,Assign the envirenment to the Misc. Grahpic features,CALCULATION,,,TRUE,TRUE,FALSE,TRUE,"var miscGraphicsParentTable = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent"",[""*""],false)
var featureGlobalID = $feature.GLOBALID
var Relatedgraphicparents = Filter(miscGraphicsParentTable, ""hkeParentGlobalId = @featureGlobalID"")
if (count(Relatedgraphicparents) > 0) {
    var updateObjecetArray = []
    for (var Relatedgraphicparent in Relatedgraphicparents) {
        var RelatedgraphicparentGlobalID = Relatedgraphicparent.GLOBALID
        var RelatedgraphicparentEnv = Relatedgraphicparent.hkeEnvironment
        var assetGroup = $feature.ASSETGROUP
        var voltage = $feature.voltagelimitmaxoperating
        var updateObject = {}
        var environment = 0
        if(assetGroup == 771 || assetGroup == 775 || assetGroup == 801 || assetGroup == 819 || assetGroup == 843) {  //Medium voltage Circuit breaker primary (771), Medium voltage Switchgear (775), Medium voltage 2 winding power transformer (801), Medium voltage Meter point (819), Medium voltage Load break switch (843)
            if(voltage == 11000) 
                var environment = 200 //MV Map 11kV
            else 
                var environment = 300 //MV Map 22kV
        } 
        else if(assetGroup == 773 || assetGroup == 774 || assetGroup == 808 || assetGroup == 850) {  //Low voltage Cutout (773), Low voltage Switchgear (774), Low voltage Transformer end (808), Low voltage Disconnector (850)
            var environment = 500 //LV Map
        }
        else if(assetGroup == 781 || assetGroup == 803 || assetGroup == 817 || assetGroup == 825) { //Transmission Switchgear (781), Transmission 2 winding power transformer (803), Transmission Source point (817), Transmission Regulator (825)
            if(voltage == 66000) {
                var environment = 1500 //TR 66kV
            } 
            else if(voltage == 132000) {
                var environment = 1400 //TR 132kV
            } 
            else if(voltage == 275000) {
                var environment = 1300 //TR 275kV
            } 
            else {
                var environment = -300
            } 
        } 
        else {
            var environment = -300
        }
        if (RelatedgraphicparentEnv != environment) {
            updateObject[""GLOBALID""] = RelatedgraphicparentGlobalID
            updateObject[""attributes""] = { ""hkeEnvironment"": environment }
            Push(updateObjecetArray, updateObject)
        }
    }
    if (count(updateObjecetArray) > 0) {
        return {
            'edit': [{
                'className': 'NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent',
                'updates': updateObjecetArray
            }]
        }
    }
}",,,TRUE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MapDevice_Cal_02,Update  Map Device's Grid X1 Coordinate,CALCULATION,,envelopex1,TRUE,TRUE,FALSE,TRUE,Geometry($feature).x,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MapDevice_Cal_03,Update  Map Device's Grid Y1 Coordinate,CALCULATION,,envelopey1,TRUE,TRUE,FALSE,TRUE,Geometry($feature).y,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
