NAME,DESCRIPTION,TYPE,SUBTYPE,FIELD,ISEDITABLE,TRIGGERINSERT,TRIGGERDELETE,TRIGGERUPDATE,SCRIPTEXPRESSION,ERRORNUMBER,ERRORMESSAGE,EXCLUDECLIENTEVALUATION,ISENABLED,BATCH,SEVERITY,TAGS,CATEGORY,CHECKPARAMETERS
LV_Sch_Cutout_ Cal_01,Update Cutout Angle,CALCULATION,Low voltage Cutout,symbolrotation,TRUE,TRUE,FALSE,TRUE,"// Cutout fuse - Low voltage
var angle = 0
var x = Geometry($feature).x
var y = Geometry($feature).y
var o_s = """"
if (Includes([352,353,355,356,357, 354], $feature.ASSETTYPE)) {
    // find same nameasset
    var nameasset = $feature.nameasset;
    var sql = ""nameasset = @nameasset"";
    var result = (Filter(FeatureSetByName($datastore,""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.SchematicDevice"",[""*""],false),sql));
    for (var i in result) {
         o_s += Text(Geometry(i))
         var cx = Geometry(i)
         if ( Abs(y - cx.y) > 0.1) {
            if ((y - cx.y) < 0){
                if ($feature.ASSETTYPE == 354) {
                    return 180
                }
            } else {
                if ($feature.ASSETTYPE != 354){
                    return 180
                }
            }
         } 
    }
}
return 0",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Disconnector_Cal_01,Update Isolator Capacity and Isolator Manufacturer based on the standalone table - “C_LVPANRABV”. ,CALCULATION,Low voltage Disconnector,,TRUE,TRUE,FALSE,TRUE,"var nameProductVariant = DomainName($feature,""nameproductvariant"",$feature.nameproductvariant)
var existCurrentLimitMaxRating = $feature.currentlimitmaxrating
var existNameProductManufacturer = $feature.nameproductmanufacturer
var lvPanRaBvFeatures = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.C_LVPANRABV"", [""*""], false)
var rows = Filter(lvPanRaBvFeatures, ""nameproductvariant = @nameProductVariant"")
if (count(rows) == 1) {
    var updateObject = {}
    var row = first(rows)
    var nameProductManufacturer = row.nameproductmanufacturer
    var currentLimitMaxRating = row.currentlimitmaxrating
    if (nameProductManufacturer != existNameProductManufacturer) {
        updateObject[""nameproductmanufacturer""] = nameProductManufacturer
    }
    if (currentLimitMaxRating != existCurrentLimitMaxRating) {
        updateObject[""currentlimitmaxrating""] = currentLimitMaxRating
    }
    for (var i in updateObject) { }
    if (isEmpty(i) != true) {
        return {
            ""result"": {
                ""attributes"": updateObject
            }
        }
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Switchgear_Cal_01,"Update the value of ""Equipment Rating (A)"" to ""Link"" when the ""Isolator Capacity Abv."" is ""Copper Link"".",CALCULATION,Low voltage Switchgear,currentlimitmaxrating,TRUE,TRUE,FALSE,TRUE,"if($feature.nameproductvariant == null){
  return
}
if(DomainName($feature,""nameproductvariant"") == ""Copper link""){
  if($originalFeature.currentlimitmaxrating != -50){
      return -50
  }
}
return",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Transformer_end_Cal_01,Calculates the value of “Forecasted Load HV (A)” and “Forecasted Load LV (A)” based on “Forecasted Load (kVA)” as well as “Operating voltage (V)”. ,CALCULATION,Low voltage Transformer end,,TRUE,TRUE,FALSE,TRUE,"if($feature.ASSETGROUP != 808){
  return 
}
var powerFlowForCasted = $feature.powerflowforecasted
if(powerFlowForCasted == null || $feature.voltageprimary == null){
   return
}
var voltage = DomainName($feature, ""voltageprimary"")
var originalCurrentForecastedPrimary = $originalFeature.currentforecastedprimary
var originalCurrentForecastedSecondary = $originalFeature.currentforecastedsecondary
var ROOT3 = 1.732050807
var currentForecastedPrimary
var currentForecastedSecondary
if(voltage == ""22""){
  currentForecastedPrimary  = Round(powerFlowForCasted / (22 * ROOT3), 0)
} else{
    currentForecastedPrimary = Round(powerFlowForCasted / (11 * ROOT3), 0)
}
currentForecastedSecondary = Round((powerFlowForCasted * 1000) / (380 * ROOT3), 0)
var dict = {}
if(originalCurrentForecastedPrimary == currentForecastedPrimary && originalCurrentForecastedSecondary == currentForecastedSecondary ){
    return
} else if(originalCurrentForecastedPrimary == currentForecastedPrimary){
    dict[""currentforecastedsecondary""] = currentForecastedSecondary
} else if(originalCurrentForecastedSecondary == currentForecastedSecondary){
    dict[""currentforecastedprimary""] = currentForecastedPrimary 
} else{
    dict[""currentforecastedprimary""] = currentForecastedPrimary 
    dict[""currentforecastedsecondary""] = currentForecastedSecondary
}
return {
    ""result"": {
        ""attributes"": dict
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Transformer_end_Cal_02,Update the field value of “Load Statistics Info.”. ,CALCULATION,Low voltage Transformer end,referenceloadstat,TRUE,TRUE,FALSE,TRUE,"var referenceObjectParentID = $feature.referenceobjectparentid
if(referenceObjectParentID == ""0"" || $feature.lifecyclestatus != 6){
    if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var nameAsset = $feature.nameasset
if(IsEmpty(referenceObjectParentID) || IsEmpty(nameAsset)){
    if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var referenceLoadStat = First(Filter(FeatureSetByName($datastore, ""HKE_System_Config"", ['*'], true), ""configKey = 'TxReferenceLoadStatURL'"")).configValue + ""?SSCODE=""  + ""?SSCODE="" + referenceObjectParentID + ""&TXNO="" + nameAsset
if($originalFeature.referenceloadstat == referenceLoadStat){
    return 
}
return referenceLoadStat",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_2_winding_power_transformer_Cal_01,Calculates the value of “Forecasted Load HV (A)” and “Forecasted Load LV (A)” based on “Forecasted Load (kVA)” as well as “Operating voltage (V)”.,CALCULATION,Medium voltage 2 winding power transformer,,TRUE,TRUE,FALSE,TRUE,"if($feature.ASSETGROUP != 801){
  return 
}
var powerFlowForCasted = $feature.powerflowforecasted
if(powerFlowForCasted == null || $feature.voltagelimitmaxoperating == null){
   return
}
var voltage = DomainName($feature, ""voltagelimitmaxoperating"")
var originalCurrentForecastedPrimary = $originalFeature.currentforecastedprimary
var originalCurrentForecastedSecondary = $originalFeature.currentforecastedsecondary
var ROOT3 = 1.732050807
var currentForecastedPrimary
var currentForecastedSecondary
if(voltage == ""22""){
  currentForecastedPrimary  = Round(powerFlowForCasted / (22 * ROOT3), 0)
} else{
    currentForecastedPrimary = Round(powerFlowForCasted / (11 * ROOT3), 0)
}
currentForecastedSecondary = Round((powerFlowForCasted * 1000) / (380 * ROOT3), 0)
var dict = {}
if(originalCurrentForecastedPrimary == currentForecastedPrimary && originalCurrentForecastedSecondary == currentForecastedSecondary ){
    return
} else if(originalCurrentForecastedPrimary == currentForecastedPrimary){
    dict[""currentforecastedsecondary""] = currentForecastedSecondary
} else if(originalCurrentForecastedSecondary == currentForecastedSecondary){
    dict[""currentforecastedprimary""] = currentForecastedPrimary 
} else{
    dict[""currentforecastedprimary""] = currentForecastedPrimary 
    dict[""currentforecastedsecondary""] = currentForecastedSecondary
}
return {
    ""result"": {
        ""attributes"": dict
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_2_winding_power_transformer_Cal_02,Update the field value of “Load Statistics Info.”.    ,CALCULATION,Medium voltage 2 winding power transformer,referenceloadstat,TRUE,TRUE,FALSE,TRUE,"var referenceObjectParentID = $feature.referenceobjectparentid
if(referenceObjectParentID == ""0"" || $feature.lifecyclestatus != 6){
    if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var nameAsset =  $feature.nameasset
if(IsEmpty(referenceObjectParentID) || IsEmpty(nameAsset)){
   if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var referenceLoadStat = First(Filter(FeatureSetByName($datastore, ""HKE_System_Config"", ['*'], true), ""configKey = 'TxReferenceLoadStatURL'"")).configValue +  + ""?SSCODE="" + referenceObjectParentID + ""&TXNO="" + nameAsset
if($originalFeature.referenceloadstat == referenceLoadStat){
    return 
}
return referenceLoadStat",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_2_winding_power_transformer_Cal_03,Get angle between point and intercept line,CALCULATION,Medium voltage 2 winding power transformer,symbolrotation,TRUE,TRUE,FALSE,TRUE,"// Find the first intersecting line from the intersecting class
var lineClass = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.SchematicLine"", [""objectid""], true)
var line = First(Intersects(lineClass, $feature))
// If no feature was found, return the original value
if (line == null)
   return $feature.symbolrotation
// Buffer the point by a small amount to extract the segment
var search = Extent(Buffer($feature, .01, ""meter""))
var segment = Clip(line, search)[""paths""][0]
// Get angle of line using the start and end vertex
return Angle(segment[0], segment[-1])",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_Circuit_breaker_primary_Cal_01,Update Owner Substation Name based on the standalone table -  “C_SUBNAME”. ,CALCULATION,Medium voltage Circuit breaker primary,namelocationdetails,TRUE,TRUE,FALSE,TRUE,"var referenceObjectParentid = $feature.referenceobjectparentid
    var subNameTable = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.C_SUBNAME"",[""*""],false)
    var targetSubNameRows = Filter(subNameTable,""nameasset = @referenceObjectParentid"")
    if(count(targetSubNameRows) == 1){
        var updateNameLocation = first(targetSubNameRows).namelocationdetailssubstation
        return updateNameLocation
    }",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicDevice_Cal_01,Assign the environment to the Misc. Graphic features ,CALCULATION,,,TRUE,TRUE,FALSE,TRUE,"var miscGraphicsParentTable = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent"",[""*""],false)
var featureGlobalID = $feature.GLOBALID
var Relatedgraphicparents = Filter(miscGraphicsParentTable, ""hkeParentGlobalId = @featureGlobalID"")
if (count(Relatedgraphicparents) > 0) {
    var updateObjecetArray = []
    for (var Relatedgraphicparent in Relatedgraphicparents) {
        var RelatedgraphicparentGlobalID = Relatedgraphicparent.GLOBALID
        var RelatedgraphicparentEnv = Relatedgraphicparent.hkeEnvironment
        var assetGroup = $feature.ASSETGROUP
        var voltage = $feature.voltagelimitmaxoperating
        var updateObject = {}
        var environment = 0
        if(assetGroup == 771 || assetGroup == 775 || assetGroup == 801 || assetGroup == 819) {  //Medium voltage Circuit breaker primary (771), Medium voltage Switchgear (775), Medium voltage 2 winding power transformer (801), Medium voltage Meter point (819)
            environment = 400 //MV Sch
        } 
        else if(assetGroup == 773 || assetGroup == 774 || assetGroup == 808 || assetGroup == 850) {  //Low voltage Cutout (773), Low voltage Switchgear (774), Low voltage Transformer end (808), Low voltage Disconnector (850)
            environment = 600 //LV Sch
        } 
        else {
            environment = -300 //Not Loaded
        }
        if (RelatedgraphicparentEnv != environment) {
            updateObject[""GLOBALID""] = RelatedgraphicparentGlobalID
            updateObject[""attributes""] = { ""hkeEnvironment"": environment }
            Push(updateObjecetArray, updateObject)
        }
    }
    if (count(updateObjecetArray) > 0) {
        return {
            'edit': [{
                'className': 'NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent',
                'updates': updateObjecetArray
            }]
        }
    }
}",,,TRUE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicDevice_Cal_02,Calcuate y corrdinate of point feature (3 d.p.) and save in Grid Y1 Coordinate field,CALCULATION,,envelopey1,TRUE,TRUE,FALSE,TRUE,Geometry($feature).y,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicDevice_Cal_03,Calcuate x corrdinate of point feature (3 d.p.) and save in Grid X1 Coordinate field,CALCULATION,,envelopex1,TRUE,TRUE,FALSE,TRUE,Geometry($feature).x,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicDevice_Cal_04,"Update Z to 1000, if the Life Cycle status is not INS or RES. Update Z to 0, if the life cycle status is INS. ",CALCULATION,,,TRUE,TRUE,FALSE,TRUE,"var lifeCycleStatus = $feature.lifecyclestatus
var featureX = Geometry($feature).x
var featureY = Geometry($feature).y
var featureZ = Geometry($feature).z
var featureSR = Geometry($feature).spatialReference
var z = 0
if (lifeCycleStatus != 6 || lifeCycleStatus != 11){
    z = 1000
}
if(featureZ != z){
    return{
        ""result"":{
            geometry:Geometry({
                'x': featureX,
                'y': featureY,
                'z': z,
                'spatialReference': featureSR
            })
        }
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicDevice_Cal_05,Update the UNC life cycle status based on the HK Electric life cycle status.   ,CALCULATION,,statenetworklifecyclenormal,TRUE,TRUE,FALSE,TRUE,"if (DomainName($feature, ""lifecyclestatus"") == ""INS"") {
  return 256
} if (DomainName($feature, ""lifecyclestatus"") == ""PPR"" ||  DomainName($feature, ""lifecyclestatus"") == ""PPX""  ) {
  return 32
}  if (DomainName($feature, ""lifecyclestatus"") == ""RES"" || DomainName($feature, ""lifecyclestatus"") == ""SP"" ) {
  return 1
} if ( DomainName($feature, ""lifecyclestatus"") == ""PPA"" || DomainName($feature, ""lifecyclestatus"") == ""PPM"" ) {
  return 2
}else {
   return 0
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
