NAME,DESCRIPTION,TYPE,SUBTYPE,FIELD,ISEDITABLE,TRIGGERINSERT,TRIGGERDELETE,TRIGGERUPDATE,SCRIPTEXPRESSION,ERRORNUMBER,ERRORMESSAGE,EXCLUDECLIENTEVALUATION,ISENABLED,BATCH,SEVERITY,TAGS,CATEGORY,CHECKPARAMETERS
LV_Sch_Line_end_Cal_01,Update the asset type of the LV Cable end according to the standalone table - “HKE_MapLVLineEndMapping”.,CALCULATION,Low voltage Line end,ASSETTYPE,TRUE,TRUE,FALSE,TRUE,"var mappingTable = FeatureSetByName($datastore,""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MapLVLineEndMapping"",[""*""],false)
var eqType = $feature.nameproduct
var targetRow = Filter(mappingTable, ""nameproduct = @eqType"")
if(count(targetRow)==1){
    var targetUpdateAssetType = first(targetRow).ASSETTYPE
    if(targetUpdateAssetType == null){
        return $feature.ASSETTYPE
    }
    return targetUpdateAssetType
}else{
    return $feature.ASSETTYPE
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Line_end_Cal_02,Get angle between point and intercept line,CALCULATION,Low voltage Line end,symbolrotation,TRUE,TRUE,FALSE,TRUE,"// Find the first intersecting line from the intersecting class
var lineClass = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.SchematicLine"", [""objectid""], true)
var line = First(Intersects(lineClass, $feature))
// If no feature was found, return the original value
if (line == null)
   return $feature.symbolrotation
// Buffer the point by a small amount to extract the segment
var search = Extent(Buffer($feature, .01, ""meter""))
var segment = Clip(line, search)[""paths""][0]
// Get angle of line using the start and end vertex
return Angle(segment[0], segment[-1])",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_Customer_service_point_Cal_01,"Update the values of "" Interconnection Status"" and "" Connected SN 1"" based on “Connected SN 1”, “Connected SN 2” and “Connected SN 3”.",CALCULATION,Medium voltage Customer service point,,TRUE,TRUE,FALSE,TRUE,"if($feature.ASSETGROUP != 967){
  return 
}
var connectedCustomer = Trim($feature.connectedCustomer1)
var connectedCustomer1 = Trim($feature.ConnectedCustomer1)
var connectedCustomer2 = Trim($feature.connectedCustomer2)
var connectedCustomer3 = Trim($feature.connectedCustomer3)
var length1 = 0
var length2 = 0
var length3 = 0
if(!IsEmpty(connectedCustomer1)){
    length1 = Count(connectedCustomer1)
}
if(!IsEmpty(connectedCustomer2)){
    length2 = Count(connectedCustomer2)
}
if(!IsEmpty(connectedCustomer3)){
    length3 = Count(connectedCustomer3)
}
var statusInterconnection
if(length1 > 0 || length2 > 0 || length3 > 0){
    statusInterconnection = 400
} else if(length1 == 0 && length2 == 0 && length3 == 0){
    statusInterconnection = 500
}
var isUpdatedTwoFields
if(IsEmpty(connectedCustomer)){
    isUpdatedTwoFields = false
} else{
    connectedCustomer = Upper(connectedCustomer)
    isUpdatedTwoFields = true
}
var originalStatusInterconnection = $originalFeature.statusinterconnection
var dict = {}
if(isUpdatedTwoFields){
    var originalConnectedCustomer1 = $originalFeature.connectedcustomer1
    if(originalStatusInterconnection == statusInterconnection && originalConnectedCustomer1 == connectedCustomer){
        return 
    } else if(originalConnectedCustomer1 == connectedCustomer){
        dict[""statusinterconnection""] = statusInterconnection
    } else if(originalStatusInterconnection == statusInterconnection){
        dict[""connectedcustomer1""] = connectedCustomer 
    } else{
        dict[""connectedcustomer1""] = connectedCustomer 
        dict[""statusinterconnection""] = statusInterconnection
    }  
} else{
    if(originalStatusInterconnection == statusInterconnection){
        return 
    } else{
        dict[""statusinterconnection""] = statusInterconnection
    }
}
return {""result"": {""attributes"": dict}}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_Customer_service_point_Cal_02,"Update the values of "" Interconnection Status"" and "" Connected SN 2"" based on “Connected SN 1”, “Connected SN 2” and “Connected SN 3”. ",CALCULATION,Medium voltage Customer service point,,TRUE,TRUE,FALSE,TRUE,"if($feature.ASSETGROUP != 967){
  return 
}
var connectedCustomer = Trim($feature.connectedCustomer2)
var connectedCustomer1 = Trim($feature.ConnectedCustomer1)
var connectedCustomer2 = Trim($feature.connectedCustomer2)
var connectedCustomer3 = Trim($feature.connectedCustomer3)
var length1 = 0
var length2 = 0
var length3 = 0
if(!IsEmpty(connectedCustomer1)){
    length1 = Count(connectedCustomer1)
}
if(!IsEmpty(connectedCustomer2)){
    length2 = Count(connectedCustomer2)
}
if(!IsEmpty(connectedCustomer3)){
    length3 = Count(connectedCustomer3)
}
var statusInterconnection
if(length1 > 0 || length2 > 0 || length3 > 0){
    statusInterconnection = 400
} else if(length1 == 0 && length2 == 0 && length3 == 0){
    statusInterconnection = 500
}
var isUpdatedTwoFields
if(IsEmpty(connectedCustomer)){
    isUpdatedTwoFields = false
} else{
    connectedCustomer = Upper(connectedCustomer)
    isUpdatedTwoFields = true
}
var originalStatusInterconnection = $originalFeature.statusinterconnection
var dict = {}
if(isUpdatedTwoFields){
    var originalConnectedCustomer2 = $originalFeature.connectedcustomer2
    if(originalStatusInterconnection == statusInterconnection && originalConnectedCustomer2 == connectedCustomer){
        return 
    } else if(originalConnectedCustomer2 == connectedCustomer){
        dict[""statusinterconnection""] = statusInterconnection
    } else if(originalStatusInterconnection == statusInterconnection){
        dict[""connectedcustomer2""] = connectedCustomer 
    } else{
        dict[""connectedcustomer2""] = connectedCustomer 
        dict[""statusinterconnection""] = statusInterconnection
    }  
} else{
    if(originalStatusInterconnection == statusInterconnection){
        return 
    } else{
        dict[""statusinterconnection""] = statusInterconnection
    }
}
return {""result"": {""attributes"": dict}}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_Customer_service_point_Cal_03,"Update the values of "" Interconnection Status"" and "" Connected SN 3"" based on “Connected SN 1”, “Connected SN 2” and “Connected SN 3”. ",CALCULATION,Medium voltage Customer service point,,TRUE,TRUE,FALSE,TRUE,"if($feature.ASSETGROUP != 967){
  return 
}
var connectedCustomer = Trim($feature.connectedCustomer3)
var connectedCustomer1 = Trim($feature.ConnectedCustomer1)
var connectedCustomer2 = Trim($feature.connectedCustomer2)
var connectedCustomer3 = Trim($feature.connectedCustomer3)
var length1 = 0
var length2 = 0
var length3 = 0
if(!IsEmpty(connectedCustomer1)){
    length1 = Count(connectedCustomer1)
}
if(!IsEmpty(connectedCustomer2)){
    length2 = Count(connectedCustomer2)
}
if(!IsEmpty(connectedCustomer3)){
    length3 = Count(connectedCustomer3)
}
var statusInterconnection
if(length1 > 0 || length2 > 0 || length3 > 0){
    statusInterconnection = 400
} else if(length1 == 0 && length2 == 0 && length3 == 0){
    statusInterconnection = 500
}
var isUpdatedTwoFields
if(IsEmpty(connectedCustomer)){
    isUpdatedTwoFields = false
} else{
    connectedCustomer = Upper(connectedCustomer)
    isUpdatedTwoFields = true
}
var originalStatusInterconnection = $originalFeature.statusinterconnection
var dict = {}
if(isUpdatedTwoFields){
    var originalConnectedCustomer3 = $originalFeature.connectedcustomer3
    if(originalStatusInterconnection == statusInterconnection && originalConnectedCustomer3 == connectedCustomer){
        return 
    } else if(originalConnectedCustomer3 == connectedCustomer){
        dict[""statusinterconnection""] = statusInterconnection
    } else if(originalStatusInterconnection == statusInterconnection){
        dict[""connectedcustomer3""] = connectedCustomer 
    } else{
        dict[""connectedcustomer3""] = connectedCustomer 
        dict[""statusinterconnection""] = statusInterconnection
    }  
} else{
    if(originalStatusInterconnection == statusInterconnection){
        return 
    } else{
        dict[""statusinterconnection""] = statusInterconnection
    }
}
return {""result"": {""attributes"": dict}}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_Line_end_Cal_01,Update the asset type of the MV Cable end according to the standalone table - “HKE_MapLVLineEndMapping”. ,CALCULATION,Medium voltage Line end,ASSETTYPE,TRUE,TRUE,FALSE,TRUE,"var mappingTable = FeatureSetByName($datastore,""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MapMVLineEndMapping"",[""*""],false)
var eqType = $feature.nameproduct
var targetRow = Filter(mappingTable, ""nameproduct = @eqType"")
if(count(targetRow)==1){
    var targetUpdateAssetType = first(targetRow).ASSETTYPE
    if(targetUpdateAssetType == null){
        return $feature.ASSETTYPE
    }
    return targetUpdateAssetType
}else{
    return $feature.ASSETTYPE
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicJunction_Cal_01,Update the environment to Misc. Graphic Parent.,CALCULATION,,,TRUE,TRUE,FALSE,TRUE,"var miscGraphicsParentTable = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent"",[""*""],false)
var featureGlobalID = $feature.GLOBALID
var Relatedgraphicparents = Filter(miscGraphicsParentTable, ""hkeParentGlobalId = @featureGlobalID"")
if (count(Relatedgraphicparents) > 0) {
    var updateObjecetArray = []
    for (var Relatedgraphicparent in Relatedgraphicparents) {
        var RelatedgraphicparentGlobalID = Relatedgraphicparent.GLOBALID
        var RelatedgraphicparentEnv = Relatedgraphicparent.hkeEnvironment
        var assetGroup = $feature.ASSETGROUP
        var voltage = $feature.voltagelimitmaxoperating
        var updateObject = {}
        var environment = 0
        if(assetGroup == 751 || assetGroup == 955 || assetGroup == 963 || assetGroup == 967) {  //Medium voltage Off-page Conductor reference (751), Medium voltage Cable joint (955), Medium voltage Line end (963), Medium voltage Customer service point (967)
            environment = 400 //MV Sch
        }
        else if(assetGroup == 954 || assetGroup == 962 || assetGroup == 966 || assetGroup == 977) {  //Low voltage Cable joint (954), Low voltage Line end (962), Low voltage Customer service point (966), Low voltage Busbar tap (977)
            environment = 600 //LV Sch
        }
        else {
            environment = -300 //Not Loaded
        }
        if (RelatedgraphicparentEnv != environment) {
            updateObject[""GLOBALID""] = RelatedgraphicparentGlobalID
            updateObject[""attributes""] = { ""hkeEnvironment"": environment }
            Push(updateObjecetArray, updateObject)
        }
    }
    if (count(updateObjecetArray) > 0) {
        return {
            'edit': [{
                'className': 'NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent',
                'updates': updateObjecetArray
            }]
        }
    }
}",,,TRUE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicJunction_Cal_02,Calcuate X corrdinate (3 d.p.) and save in Grid X1 Coordinate field.,CALCULATION,,envelopex1,TRUE,TRUE,FALSE,TRUE,Geometry($feature).x,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicJunction_Cal_03,Calcuate y corrdinate of point feature (3 d.p.) and save in Grid Y1 Coordinate field.,CALCULATION,,envelopey1,TRUE,TRUE,FALSE,TRUE,Geometry($feature).y,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicJunction_Cal_04,"Update Z to 1000, if the Life Cycle status is not INS or RES. Update Z to 0, if the life cycle status is INS.",CALCULATION,,,TRUE,TRUE,FALSE,TRUE,"var lifeCycleStatus = $feature.lifecyclestatus
var featureX = Geometry($feature).x
var featureY = Geometry($feature).y
var featureZ = Geometry($feature).z
var featureSR = Geometry($feature).spatialReference
var z = 0
if (lifeCycleStatus != 6 && isEmpty(lifeCycleStatus) != true){
    z = 1000
}
if(featureZ != z){
    return{
        ""result"":{
            geometry:Geometry({
                'x': featureX,
                'y': featureY,
                'z': z,
                'spatialReference': featureSR
            })
        }
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
