NAME,DESCRIPTION,TYPE,SUBTYPE,FIELD,ISEDITABLE,TRIGGERINSERT,TRIGGERDELETE,TRIGGERUPDATE,SCRIPTEXPRESSION,ERRORNUMBER,ERRORMESSAGE,EXCLUDECLIENTEVALUATION,ISENABLED,BATCH,SEVERITY,TAGS,CATEGORY,CHECKPARAMETERS
LV_Sch_Busbar_Cal_01,Update the field value of “Load Statistics Info.”.,CALCULATION,Low voltage Busbar,referenceloadstat,TRUE,TRUE,FALSE,TRUE,"var referenceObjectParentID = $feature.referenceobjectparentid
if(referenceObjectParentID == ""0"" || $feature.lifecyclestatus != 6){
    if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var nameAsset = $feature.nameasset
if(IsEmpty(nameAsset) || IsEmpty(referenceObjectParentID)){
  if($originalFeature.referenceloadstat == """"){
        return 
    }
    return """"
}
var referenceLoadStat = First(Filter(FeatureSetByName($datastore, ""HKE_System_Config"", ['*'], true), ""configKey = 'PlReferenceLoadStatURL'"")).configValue + ""?SSCODE=""+ referenceObjectParentID + ""&PLNO="" + nameAsset
if($originalFeature.referenceloadstat == referenceLoadStat){
    return 
}
return referenceLoadStat",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Conductor_Cal_01,Update the “Recommended Circuit Rating” and “Section Material Code” based on standalone table C_LVCIRRATE_57. ,CALCULATION,Low voltage Conductor,,TRUE,TRUE,FALSE,TRUE,"var nameProductVariant = $feature.nameproductvariant
var lvCirRateRows = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.C_LVCIRRATE"", [""*""], false)
var targetRows = Filter(lvCirRateRows, ""nameproductvariant = @nameProductVariant"")
if (count(targetRows) == 1) {
    var updateObject = {}
    var row = first(targetRows)
    var currentApproved = row.currentapproved
    var materialCore = row.materialcore
    var existCurrentApproved = $feature.currentapproved
    var existMaterialCore = $feature.materialcore
    if (existCurrentApproved != currentApproved) {
        updateObject[""currentApproved""] = currentApproved
    }
    if (existMaterialCore != materialCore) {
        updateObject[""materialCore""] = materialCore
    }
    for (var i in updateObject) { }
    if (isEmpty(i) != true) {
        return {
            'result': {
                'attributes': updateObject
            }
        }
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Conductor_Cal_02,Update the field value of “LV Front Page”. ,CALCULATION,Low voltage Conductor,referencereport,TRUE,TRUE,FALSE,TRUE,"var nameAsset = Trim($feature.nameasset)
if($feature.lifecyclestatus != 6  || IsEmpty(nameasset)){
    if($originalFeature.referencereport  != """"){
        return """"
    }
    return 
} 
var items = Filter(FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_System_Config"", ['*'], true), ""configKey LIKE 'ReportLoader'"")
var item = First(items)
var link = item.configValue + ""?ReportType=FrontPage_LV&Filename=lvfp_"" + nameAsset + "".pdf""
if($originalFeature.referencereport  != link){
        return link 
}
return",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Conductor_Cal_03,Update the field value of “Load Statistics Info.”.,CALCULATION,Low voltage Conductor,referenceloadstat,TRUE,TRUE,FALSE,TRUE,"var referenceObjectParentID = $feature.referenceobjectparentid
var subNetworkName = $feature.SUBNETWORKNAME
if(Number(referenceObjectParentID, ""#"") == 0 || $feature.lifecyclestatus != 6){
    if($originalFeature.referenceloadstat != """"){
        return """"
    }
    return 
}
var index = Find(""::"" , subNetworkName, 0)
if(index == -1){
    if($originalFeature.referenceloadstat != """"){
        return """"
    }
    return 
}
var eqNumber = Left(subNetworkName, 4)
var link = First(Filter(FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_System_Config"", ['*'], true), ""configKey = 'LvReferenceLoadStatURL'"")).configValue + ""?SSCODE="" + referenceObjectParentID + ""&LVIO="" + eqNumber
if($originalFeature.referenceloadstat != link){
   return link
}
return",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Connector_line_Cal_01,Update the field value of “LV Front Page”. ,CALCULATION,Low voltage Connector line,referencereport,TRUE,TRUE,FALSE,TRUE,"var nameAsset = Trim($feature.nameasset)
if($feature.lifecyclestatus  != 6 || IsEmpty(nameasset)){
    if($originalFeature.referencereport != """"){
        return """"
    }
    return 
} 
var items = Filter(FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_System_Config"", ['*'], true), ""configKey LIKE 'ReportLoader'"")
var item = First(items)
var link = item.configValue + ""?ReportType=FrontPage_LV&Filename=lvfp_"" + nameAsset + "".pdf""
if($originalFeature.referencereport != link){
   return link 
}
return",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
LV_Sch_Connector_line_Cal_02,Update the field value of “Load Statistics Info.”.,CALCULATION,Low voltage Connector line,referenceloadstat,TRUE,TRUE,FALSE,TRUE,"var referenceObjectParentID = $feature.referenceobjectparentid
var subNetworkName = $feature.SUBNETWORKNAME
if(Number(referenceObjectParentID, ""#"") == 0 || $feature.lifecyclestatus != 6){
    if($originalFeature.referenceloadstat != """"){
        return """"
    }
    return 
}
var index = Find(""::"" , subNetworkName, 0)
if(index != -1){
    if($originalFeature.referenceloadstat != """"){
        return """"
    }
    return 
}
var eqNumber = Left(subNetworkName, 4)
var link = First(Filter(FeatureSetByName($datastore, ""HKE_System_Config"", ['*'], true), ""configKey = 'LvReferenceLoadStatURL'"")).configValue + ""?SSCODE="" + referenceObjectParentID + ""&LVIO="" + eqNumber
if($originalFeature.referenceloadstat != link){
   return link
}
return",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
MV_Sch_Conductor_Cal_01,Update MV Sch Cable Stock Information,CALCULATION,,,TRUE,TRUE,FALSE,TRUE,"var stockTable = FeatureSetByName($dataStore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MV_CableSectionStockNo"",validFields,false)
var stockNo = $feature.referenceobjectfidcatalogue
var originalStockNo = $originalfeature.referenceobjectfidcatalogue
var validFields = [""materialcore"",""voltagelimitmaxoperating"",""voltagelimitmaxrating""]
var sqlExpression = ""referenceobjectfidcatalogue = @stockNo""
var updateAttributes = {}
if(stockNo != originalStockNo){
    var targetStockRecords = Filter(stockTable, sqlExpression)
    if(Count(targetStockRecords) != 0 ){
        var targetStockRecord = first(targetStockRecords)
        for(var key in targetStockRecord){
            if(key != ""OBJECTID"" && Includes(validFields, key) && targetStockRecord[key] != null && targetStockRecord[key] != 0){
                updateAttributes[key] = targetStockRecord[key]
            }
        }
    }
    return{
        ""result"":{
            ""attributes"":updateAttributes
        }
    }
}",,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicLine_Cal_01,Assign the environment to the Misc. Graphic features,CALCULATION,,,TRUE,TRUE,FALSE,TRUE,"var miscGraphicsParentTable = FeatureSetByName($datastore, ""NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent"",[""*""],false)
var featureGlobalID = $feature.GLOBALID
var Relatedgraphicparents = Filter(miscGraphicsParentTable, ""hkeParentGlobalId = @featureGlobalID"")
if (count(Relatedgraphicparents) > 0) {
    var updateObjecetArray = []
    for (var Relatedgraphicparent in Relatedgraphicparents) {
        var RelatedgraphicparentGlobalID = Relatedgraphicparent.GLOBALID
        var RelatedgraphicparentEnv = Relatedgraphicparent.hkeEnvironment
        var assetGroup = $feature.ASSETGROUP
        var voltage = $feature.voltagelimitmaxoperating
        var updateObject = {}
        var environment = 0
        if(assetGroup == 921 || assetGroup == 925 || assetGroup == 929) {  //Medium voltage Conductor (921), Medium voltage Busbar (925), Medium voltage Connector line (929)
           environment = 400 
        }
        else if(assetGroup == 920 || assetGroup == 924 || assetGroup == 928) {  //Low voltage Conductor (920), Low voltage Busbar (924), Low voltage Connector line (928)
           environment = 600
        } 
        else {
            var environment = -300
        }
        if (RelatedgraphicparentEnv != environment) {
            updateObject[""GLOBALID""] = RelatedgraphicparentGlobalID
            updateObject[""attributes""] = { ""hkeEnvironment"": environment }
            Push(updateObjecetArray, updateObject)
        }
    }
    if (count(updateObjecetArray) > 0) {
        return {
            'edit': [{
                'className': 'NGISDD_Desktop_0926.NGISSD_SQLSERVICE.HKE_MiscGraphicsParent',
                'updates': updateObjecetArray
            }]
        }
    }
}",,,TRUE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicLine_Cal_02,Copy X coordinate of the start vertex (part 1) of the line feature to this field,CALCULATION,,envelopex1,FALSE,TRUE,FALSE,TRUE,Geometry($feature).paths[0][0].x,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
SchematicLine_Cal_03,Copy X coordinate of the end vertex (part 1) of the line feature to this field,CALCULATION,,envelopex2,FALSE,TRUE,FALSE,TRUE,Geometry($feature).paths[0][-1].x,,,FALSE,TRUE,FALSE,,,0,"{""type"":""PropertySet"",""propertySetItems"":[]}"
